"year","month","wind_speed","speed_bin"
"2010","1","2.6",3
"2010","1","2.6",3
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.86",2
"2010","1","1.48",2
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","2.78",3
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","1.48",2
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","2.6",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","1.11",2
"2010","1","1.11",2
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","1.67",2
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","1.48",2
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","0.56",1
"2010","1","0.19",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","1.48",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","2.23",3
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","1.86",2
"2010","1","1.3",2
"2010","1","0.56",1
"2010","1","1.11",2
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.93",1
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.97",3
"2010","1","2.78",3
"2010","1","2.6",3
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","1.3",2
"2010","1","1.67",2
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","1.67",2
"2010","1","3.15",4
"2010","1","2.41",3
"2010","1","2.97",3
"2010","1","2.6",3
"2010","1","3.71",4
"2010","1","3.53",4
"2010","1","2.23",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.6",3
"2010","1","2.23",3
"2010","1","2.6",3
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.41",3
"2010","1","2.41",3
"2010","1","2.78",3
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.6",3
"2010","1","1.67",2
"2010","1","2.41",3
"2010","1","1.67",2
"2010","1","2.6",3
"2010","1","2.6",3
"2010","1","2.97",3
"2010","1","2.97",3
"2010","1","2.6",3
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","2.41",3
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","2.04",3
"2010","1","2.6",3
"2010","1","2.6",3
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","2.41",3
"2010","1","2.78",3
"2010","1","2.04",3
"2010","1","2.6",3
"2010","1","1.48",2
"2010","1","2.6",3
"2010","1","1.11",2
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","2.23",3
"2010","1","1.48",2
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","3.34",4
"2010","1","3.34",4
"2010","1","3.71",4
"2010","1","3.34",4
"2010","1","3.34",4
"2010","1","3.9",4
"2010","1","2.78",3
"2010","1","2.41",3
"2010","1","3.34",4
"2010","1","3.71",4
"2010","1","3.9",4
"2010","1","4.64",5
"2010","1","4.27",5
"2010","1","3.53",4
"2010","1","4.27",5
"2010","1","4.08",5
"2010","1","2.97",3
"2010","1","3.9",4
"2010","1","3.34",4
"2010","1","4.82",5
"2010","1","4.82",5
"2010","1","3.15",4
"2010","1","3.34",4
"2010","1","4.45",5
"2010","1","4.64",5
"2010","1","3.9",4
"2010","1","3.15",4
"2010","1","5.01",6
"2010","1","4.45",5
"2010","1","3.71",4
"2010","1","4.82",5
"2010","1","3.71",4
"2010","1","4.08",5
"2010","1","4.27",5
"2010","1","3.9",4
"2010","1","3.53",4
"2010","1","3.71",4
"2010","1","2.23",3
"2010","1","3.71",4
"2010","1","4.08",5
"2010","1","4.27",5
"2010","1","3.71",4
"2010","1","3.53",4
"2010","1","2.97",3
"2010","1","2.78",3
"2010","1","3.34",4
"2010","1","3.71",4
"2010","1","4.27",5
"2010","1","2.78",3
"2010","1","3.71",4
"2010","1","4.45",5
"2010","1","4.45",5
"2010","1","3.15",4
"2010","1","3.34",4
"2010","1","3.15",4
"2010","1","3.34",4
"2010","1","2.78",3
"2010","1","3.71",4
"2010","1","2.78",3
"2010","1","2.23",3
"2010","1","2.78",3
"2010","1","3.15",4
"2010","1","2.97",3
"2010","1","2.78",3
"2010","1","3.53",4
"2010","1","2.78",3
"2010","1","3.15",4
"2010","1","3.53",4
"2010","1","2.78",3
"2010","1","2.78",3
"2010","1","2.41",3
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","3.34",4
"2010","1","3.9",4
"2010","1","3.71",4
"2010","1","3.53",4
"2010","1","4.27",5
"2010","1","3.34",4
"2010","1","2.78",3
"2010","1","2.97",3
"2010","1","2.97",3
"2010","1","2.78",3
"2010","1","2.78",3
"2010","1","2.78",3
"2010","1","2.97",3
"2010","1","3.34",4
"2010","1","2.97",3
"2010","1","2.6",3
"2010","1","2.23",3
"2010","1","1.67",2
"2010","1","1.11",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","2.41",3
"2010","1","2.97",3
"2010","1","2.78",3
"2010","1","3.15",4
"2010","1","3.9",4
"2010","1","4.45",5
"2010","1","4.45",5
"2010","1","3.34",4
"2010","1","2.78",3
"2010","1","2.78",3
"2010","1","3.53",4
"2010","1","2.78",3
"2010","1","3.15",4
"2010","1","3.34",4
"2010","1","4.08",5
"2010","1","3.15",4
"2010","1","2.97",3
"2010","1","2.6",3
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","2.6",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.11",2
"2010","1","2.04",3
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","2.97",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.6",3
"2010","1","2.41",3
"2010","1","1.67",2
"2010","1","2.6",3
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","1.11",2
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","1.48",2
"2010","1","1.11",2
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","1.11",2
"2010","1","0.93",1
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","1.3",2
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","1.3",2
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","1.3",2
"2010","1","1.67",2
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.78",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","1.3",2
"2010","1","1.86",2
"2010","1","1.3",2
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","1.3",2
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","2.23",3
"2010","1","2.6",3
"2010","1","1.67",2
"2010","1","2.78",3
"2010","1","2.41",3
"2010","1","1.48",2
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","2.6",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.6",3
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","1.48",2
"2010","1","1.3",2
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","1.67",2
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.97",3
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","1.3",2
"2010","1","2.04",3
"2010","1","2.78",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","3.53",4
"2010","1","2.78",3
"2010","1","1.67",2
"2010","1","2.6",3
"2010","1","3.53",4
"2010","1","3.34",4
"2010","1","3.53",4
"2010","1","3.71",4
"2010","1","3.15",4
"2010","1","2.97",3
"2010","1","3.53",4
"2010","1","4.45",5
"2010","1","2.97",3
"2010","1","3.34",4
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","2.6",3
"2010","1","2.6",3
"2010","1","2.23",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","1.11",2
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","0.56",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.0",1
"2010","1","0.37",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.0",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.56",1
"2010","1","1.11",2
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.19",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.56",1
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","1.11",2
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","0.56",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","1.48",2
"2010","1","1.11",2
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","0.56",1
"2010","1","1.3",2
"2010","1","0.74",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","1.11",2
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","0.93",1
"2010","1","0.37",1
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.0",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.0",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","1.3",2
"2010","1","0.93",1
"2010","1","0.56",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.93",1
"2010","1","1.67",2
"2010","1","2.23",3
"2010","1","1.3",2
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","1.11",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","4.82",5
"2010","1","3.9",4
"2010","1","2.41",3
"2010","1","2.97",3
"2010","1","3.34",4
"2010","1","4.27",5
"2010","1","4.64",5
"2010","1","4.08",5
"2010","1","2.78",3
"2010","1","4.64",5
"2010","1","3.53",4
"2010","1","4.27",5
"2010","1","4.27",5
"2010","1","2.6",3
"2010","1","4.45",5
"2010","1","4.08",5
"2010","1","4.08",5
"2010","1","5.01",6
"2010","1","5.75",6
"2010","1","4.45",5
"2010","1","3.71",4
"2010","1","4.45",5
"2010","1","4.27",5
"2010","1","4.08",5
"2010","1","3.53",4
"2010","1","3.53",4
"2010","1","3.71",4
"2010","1","4.08",5
"2010","1","3.53",4
"2010","1","3.71",4
"2010","1","3.9",4
"2010","1","5.2",6
"2010","1","5.57",6
"2010","1","3.71",4
"2010","1","5.38",6
"2010","1","4.08",5
"2010","1","4.08",5
"2010","1","5.57",6
"2010","1","4.82",5
"2010","1","4.08",5
"2010","1","4.82",5
"2010","1","6.31",7
"2010","1","4.64",5
"2010","1","4.27",5
"2010","1","4.08",5
"2010","1","4.45",5
"2010","1","4.27",5
"2010","1","4.45",5
"2010","1","5.01",6
"2010","1","4.45",5
"2010","1","4.82",5
"2010","1","4.45",5
"2010","1","4.82",5
"2010","1","5.2",6
"2010","1","4.45",5
"2010","1","4.64",5
"2010","1","3.71",4
"2010","1","4.45",5
"2010","1","4.82",5
"2010","1","4.27",5
"2010","1","3.71",4
"2010","1","3.15",4
"2010","1","4.82",5
"2010","1","6.31",7
"2010","1","5.94",6
"2010","1","4.27",5
"2010","1","5.38",6
"2010","1","5.2",6
"2010","1","5.01",6
"2010","1","4.64",5
"2010","1","4.45",5
"2010","1","3.53",4
"2010","1","2.97",3
"2010","1","3.9",4
"2010","1","3.53",4
"2010","1","2.97",3
"2010","1","2.78",3
"2010","1","3.53",4
"2010","1","3.71",4
"2010","1","3.71",4
"2010","1","3.71",4
"2010","1","3.9",4
"2010","1","4.64",5
"2010","1","4.08",5
"2010","1","4.08",5
"2010","1","5.38",6
"2010","1","3.71",4
"2010","1","3.71",4
"2010","1","2.97",3
"2010","1","2.97",3
"2010","1","3.34",4
"2010","1","2.97",3
"2010","1","2.97",3
"2010","1","2.97",3
"2010","1","3.34",4
"2010","1","2.6",3
"2010","1","3.53",4
"2010","1","3.9",4
"2010","1","2.97",3
"2010","1","2.78",3
"2010","1","2.78",3
"2010","1","2.6",3
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","1.3",2
"2010","1","1.48",2
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.11",2
"2010","1","1.48",2
"2010","1","1.48",2
"2010","1","1.86",2
"2010","1","1.11",2
"2010","1","1.67",2
"2010","1","2.23",3
"2010","1","2.6",3
"2010","1","2.41",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","2.6",3
"2010","1","2.23",3
"2010","1","2.41",3
"2010","1","2.41",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","3.34",4
"2010","1","2.97",3
"2010","1","2.6",3
"2010","1","2.04",3
"2010","1","2.6",3
"2010","1","2.41",3
"2010","1","1.48",2
"2010","1","2.23",3
"2010","1","2.97",3
"2010","1","2.23",3
"2010","1","2.23",3
"2010","1","2.6",3
"2010","1","2.41",3
"2010","1","1.67",2
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","1.67",2
"2010","1","2.04",3
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","0.93",1
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","0.74",1
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","2.04",3
"2010","1","2.04",3
"2010","1","2.41",3
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.04",3
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.3",2
"2010","1","1.86",2
"2010","1","1.86",2
"2010","1","1.48",2
"2010","1","0.74",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.93",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.56",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","0.0",1
"2010","1","0.0",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.19",1
"2010","1","0.37",1
"2010","1","0.19",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","1.11",2
"2010","1","1.11",2
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.56",1
"2010","1","0.56",1
"2010","1","0.74",1
"2010","1","0.37",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.93",1
"2010","1","0.56",1
"2010","1","0.37",1
"2010","1","0.74",1
"2010","1","0.56",1
"2010","1","1.11",2
"2010","1","1.86",2
"2010","1","0.93",1
"2010","1","1.11",2
"2010","1","1.67",2
"2010","1","1.48",2
"2010","1","1.11",2
"2010","1","0.93",1
"2010","1","1.48",2
"2010","1","2.04",3
"2010","1","1.86",2
"2010","1","1.48",2
"2010","1","0.56",1
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.3",2
"2010","1","1.11",2
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","1.67",2
"2010","1","1.86",2
"2010","1","2.41",3
"2010","1","2.6",3
"2010","1","2.41",3
"2010","1","2.23",3
"2010","1","2.04",3
"2010","1","2.23",3
"2010","1","1.86",2
"2010","1","2.6",3
"2010","1","1.67",2
"2010","1","2.04",3
"2010","1","2.23",3
